title,lyrics_text
РАТАТАТАТА (RATATATATA),"Всё красиво, когда у папы ксива
Бабки, связи, тёлки, корпоративы
Е! Е!

[Припев: MORGENSHTERN]
Да, сука, новый автомат, е (Е!)
47-АК, сука, мы палим города, е (Е!)
Ра-та-та-та-та, да, сука, это на века, е (Е!)
Папа, да, АК — то, как мы валим на битах, е (Окей!)
Ра-та-та-та-та, да, сука, новый автомат, е (Е!)
47-АК, сука, мы палим города, е (Е!)
Ра-та-та-та-та, да, сука, это на века, е (Е!)
Папа, да, АК — то, как мы валим на битах, е (Е!)
Ра-та-та-та-та-та-та-та-та-та-та-та

[Куплет: Витя АК]
(Угу) Это мы не проходили (Е), это нам не задавали (Ага)
Мы сами это замутили (Е), и записали в подвале (Ур-р-р)
Звук в наушниках валит (Е), давай, пускай на динамик (Уф)
С цепи его отпускаем (Ага), пускай их нахуй придавит (Пау)
Звук с окраин Еката (—Ката), лоб пятёркой закатан (Чин)
**** плёнкой замотан (У), **** закапан (Во)
Моя банда старше баобаба, твоя банда — одни обаплы (У)
Моя лапа будто Ламбо (Е), твоя баба будто Lada (Ха-хах, ха-ха-ха)
Твоя баба будто Lada (А, а)
You might also like
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
Я ПЫЛЬ (I’M DUST)
MORGENSHTERN
El Problema
MORGENSHTERN & Тимати (Timati)
[Припев: MORGENSHTERN]
Да-Да-Да-Да-Да, сука, новый автомат, е (Е!)
47-АК, сука, мы палим города, е (Е!)
Ра-та-та-та-та, да, сука, это на века, е (Е!)
Папа, да, АК — то, как мы валим на битах, е (Окей!)
Ра-та-та-та-та, да, сука, новый автомат, е (Е!)
47-АК, сука, мы палим города, е (Е!)
Ра-та-та-та-та, да, сука, это на века, е (Е!)
Папа, да, АК — то, как мы валим на битах, е (Е!)
Ра-та-та-та-та-та-та-та-та-та—

[Аутро: MORGENSHTERN]
Та, та-та-та
Та, та, та-та-та (Е!)
Та, та-та-та
Та, та, та-та-та, а—
Та, та-та-та
Та, та, та-та-та (Е!)
Та, та-та-та
Та, та, та-та-та, а—"
Зеленоглазые деффки! (Green-eyed Girls!),"Давай
Эй, эй, wha'?

[Припев: MORGENSHTERN]
Так люблю девочек с зелёными глазами
Почему? — Хуй знает! Почему? — Хуй знает!
Так люблю девочек с зелёными глазами
Почему? — Хуй знает! Почему? — Хуй знает!
Так люблю девочек с зелёными глазами
Почему? — Хуй знает! Почему? — Хуй знает!
Так люблю девочек с зелёными глазами
Почему? — Хуй знает! Почему? — Хуй знает!

[Куплет 1: MORGENSHTERN]
Сто голов тут, но я не понимаю толку
Почему ты тут, и почему ты моя тёлка?
Да, ты парень милый, ты похожа на котёнка
Отведи его домой, давно пора на койку
Громче навали бита, давай крутить танцы
Мне наплевать, что половина — иностранцы (Фью)
Мне наплевать, что твоя маман из Франции
Тусоваться, ненавижу тусоваться
Парень, хули ты так жёстко палишь?
Типа ты меня не знаешь
Или, может быть
Тебя просто ослепил яркий блеск моей цепочки? (Фью)
You might also like
Буду твоей пальмой! (I’ll Be Your Palm!)
MORGENSHTERN
So High!
MORGENSHTERN & 4Teen
Уфф… Деньги… (Oof… Money…)
MORGENSHTERN
[Припев: MORGENSHTERN]
Так люблю девочек с зелёными глазами (Что?)
Почему? — Хуй знает! Почему? — Хуй знает!
Так люблю девочек с зелёными глазами
Почему? — Хуй знает! Почему? — Хуй знает!
Так люблю девочек с зелёными глазами (Что?)
Почему? — Хуй знает! Почему? — Хуй знает!
Так люблю девочек с зелёными глазами
Почему? Почему?

[Скит: MORGENSHTERN]
Подожди, подожди

[Куплет 2: ЛСП]
Так люблю девушек с зелёными глазами
И я точно знаю, почему
Люблю, когда глаза их горят
Точнее, вылезают из орбит, пузырясь
И киски не текут, а полыхают
От моих ребят
Из отряда инквизиции, такой у нас обряд
Уж извините, и для наших принципов критично
Чтоб незамедлительно каждая ведьма и еретичка
С помощью священного костра лишилась колдовства

[Бридж: ЛСП]
Эти зелёные глаза смотрят прямо в твои
Напрасно, ярко пламя горит
Жаль не нашей любви
Ну что же, гори ясно, а я снова в пути
Туда, где фонари горят красным
Там ведьмы хитрее и сами мой молот согреют
Ведь я чем угодно могу заниматься
Но после работы, в свободное время
[Предприпев: MORGENSHTERN & ЛСП]
Так люблю девочек с зелёными глазами
Почему? Почему? (Почему?)
Так люблю девочек с зелёными глазами
Почему? Почему?
Так люблю девочек с зелёными глазами (Влюблён)
Почему? Почему? (Почему?)
Так люблю девочек с зелёными глазами
Почему?

[Припев: MORGENSHTERN]
Я так люблю девочек с зелёными глазами
(Почему?) Хуй знает! (Почему?) Хуй знает!
Так люблю девочек с зелёными глазами
(Почему?) Хуй знает! (Почему?) Хуй знает!
Так люблю девочек с зелёными глазами
(Почему?) Хуй знает! (Почему?) Хуй знает!
Так люблю девочек с зелёными глазами
(Почему?) Хуй знает! (Почему?) Хуй знает!

[Аутро: MORGENSHTERN]
(Почему? Почему?) Хуй знает!
(Почему? Почему?) Хуй знает!
(Почему? Почему?) Хуй знает!
(Почему? Почему?) Хуй знает!
(Почему? Почему?) Хуй знает!
(Почему? Почему?) Ху-Хуй знает!
(Почему? Почему?) Хуй знает!
(Почему? Почему?) Хуй знает!"
Вот так (Like This),"Композитор Алишер Тагирович на бите
М-м!

[Предприпев]
Делать деньги, ах, вот так
М-м, деньги, (Да) да, вот так
(Да) Делать деньги, (Да) да, вот так
(Да) Делать деньги (Ай)

[Припев]
А делать деньги, блядь, вот так
Пальцем «щёлк» — и деньги в банк
Самый дикий — это факт
Мной гордился бы мой папа
Делать деньги, блядь, вот так
Пальцем «щёлк» — и деньги в банк
Самый дикий — это факт
Мной гордился бы мой папа

[Куплет 1]
Свежий, молодой, будто Джэй Коул
Снова забираю этот бэнкролл
Суки меня любят, будто Фрэнк Оу
Не путай меня с грязью — это мой флоу
You might also like
ICE
MORGENSHTERN
Уфф… Деньги… (Oof… Money…)
MORGENSHTERN
Новый Мерин (New Benz)
MORGENSHTERN
[Бридж]
(Пау-пау) Залетаю в бит, будто папа
Как так? С твоей сукой dance — это канкан
Пау-пау, залетаю в бит, будто папа
Shot, shot твоей суке в рот — это shot, shot

[Куплет 2]
Ху, парень, а давай-ка по деталям
Я тебе не угодил — это не то, чего ты ждал?
И, сука, я тебе не шут, эти ублюдки понимают
#ИзиРэп, второй сезон? А не пойти бы тебе нахуй?!

[Бридж]
Оу, может это дико для тебя, бро? (А!)
Так навали дизов, и пошёл вон (Пиу!)
Я самый дикий был — и я им остаюсь (Фью)
Правила игры опять перевернул…

[Скит]
Наша проблема в том, что у нас учится такой урод
Ха!

[Предприпев]
Делать деньги, ах, вот так
М-м, деньги, (Да) да, вот так
(Да) Делать деньги, (Да) да, вот так
(Да) Делать деньги (Ай)
[Припев]
А делать деньги, блядь, вот так
Пальцем «щёлк» — и деньги в банк
Самый дикий — это факт
Мной гордился бы мой папа
Делать деньги, блядь, вот так
Пальцем «щёлк» — и деньги в банк
Самый дикий — это факт
Мной гордился бы мой папа"
ДУЛО (DULO),"Ай
Рядовой MORGENSHTERN тут, сука (Слава, что ты сделал?)
Ай, готовьте пушки, йей, йей, е-е-е
Йей (Йей), йей

[Припев]
Pull up in the tank и я еду в бой (Йей)
Тут я капитан, боевой ковбой (Йей)
Купил новый ТУ — это самолёт (Йей)
«Вру-ту-ту-ту-ту-ту-туф» — это вертолёт (Йей)
Pull up in the tank и я еду в бой (Йей)
Тут я капитан, боевой ковбой (Йей)
Купил новый ТУ — это самолёт (Йей)
«Бэ-э» — а это ты подох

[Куплет]
А, закрутил на поле боя, будто вертик
А, сука ловит пулевое на моей торпеде (На)
А, тупое мясо посажу на вертель (Шаверма)
А, я впереди, а ты вперде (Ха)

[Бридж]
Нахуй Lambo' (Йей), прыгну в самолёт (У-э)
Эй, тупо лох (Лох), пососи дуло (Соси)
Нахуй Lambo' (Fuck), прыгну в самолёт (Фью)
Эй, тупо лох (Лох), пососи дуло (Соси)
You might also like
ICE
MORGENSHTERN
Забуду (Will Forget)
SLAVA MARLOW
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
[Интерлюдия]
Заходите, люди, поиграть в War Thunder
Тут, бля, очень красиво
Алишерка стал дохуя богаче
War Thunder, большое спасибо
Танки, самолёты, вертолёт и корабль
Тут всё есть, чё тебе надо
Поскорей беги по ссылке в описании и качай War Thunder прямо сейчас
А я приму ванну из бабок (Йей, йей, йей)

[Припев]
Pull up in the tank и я еду в бой (Йей)
Тут я капитан, боевой ковбой (Йей)
Купил новый ТУ — это самолёт (Йей)
«Вру-ту-ту-ту-ту-ту-туф» — это вертолёт (Йей)
Pull up in the tank и я еду в бой (Йей)
Тут я капитан, боевой ковбой (Йей)
Купил новый ТУ — это самолёт (Йей)
«Бэ-э» — а это ты подох"
12,"Пиздуйте на хуй отсюда, ёбаные пидорасы
Так
Эй

[Припев: MORGENSHTERN]
Под капотом V12, на Cartier за полночь (Угу)
Мне давно уже не восемнадцать, суке исполнилось только (Угу)
Цвет как пчёлка, ж-ж-ж, цвет родной — прям так, со стока (Угу)
Стрелка мчит за сотку, стрелки на дорогих колготках (Угу)
Небоскрёбы в смоке, smoke ice kush, но eyes не smoky (Угу)
Эти караты на мне — теперь они стоят в два раза дороже (Угу)
В stories'е пара emoji, вау, да ты способен на подвиг (Угу)
Большие дяди отправят на бойню — дядям всегда было похуй (Эй)

[Куплет: MORGENSHTERN]
Вроде съебался давно, всё так же пугаюсь, когда вижу копов (Эй)
Серые схемы, серые деньги — всё оформляем на дропов (Yes)
Быстрая жизнь и быстрые тачки — я благородной породы (Да)
Нет ничего ведь дороже, чем вдох — мы благодарны Богу
Стейк из красной рыбы, день начинается с музыки Queen'а, угу
Моя кровать king size, но королевы меняются быстро (Switch)
Надеюсь последнее, чё я услышу, это будет выстрел
Быстрая смерть, чтобы не думать о том, чё не успел
Шопоголик сучий — я ношу шалав как вещи (Угу)
Я уже видел всю эту жизнь, кажется, сон был вещий (Угу)
Нету доверия, нету любви, есть только мувы и деньги (Угу)
Рубль оставили в прошлом (В прошлом), теперь только доллар и евро, эй (Угу)
Новая сука приятна, ещё приятней — новенький паспорт (Е)
Private jet, Дубай, Испания, чтобы порадовать брата (Эй)
Как хорошо, что он рос не в России, его не учили бояться
Малому сегодня двенадцать (Малому сегодня двенадцать)
You might also like
О2
SLAVA MARLOW
Я ГОВНО (I’M SHIT)
THRILL PILL & Шайни (Shyney)
ДЕНЬГИ (MONEY)
uglystephan & Scally Milano
[Припев: MORGENSHTERN]
Под капотом V12, на Cartier за полночь (Угу)
Мне давно уже не восемнадцать, суке исполнилось только (Угу)
Цвет как пчёлка, ж-ж-ж, цвет родной — прям так, со стока (Угу)
Стрелка мчит за сотку, стрелки на дорогих колготках (Угу)
Небоскрёбы в смоке, smoke ice kush, но eyes не smoky (Угу)
Эти караты на мне — теперь они стоят в два раза дороже (Угу)
В stories'е пара emoji, вау, да ты способен на подвиг (Угу)
Большие дяди отправят на бойню — дядям всегда было похуй

[Интерлюдия: Дмитрий Гордон & Екатерина Котрикадзе]
Пиздуйте на хуй отсюда, ёбаные пидорасы
Так

[Бридж: MORGENSHTERN]
И пусть с нами успех, но мы забудем о всём, что у нас есть, когда подойдёт смерть (А)
Хуй с ней, с капустой, но я совру, если буду базарить, что не в деньгах счастье (А)
И пусть с нами успех, но мы забудем о всём, что у нас есть, когда подойдёт смерть (А)
Хуй с ней, с капустой, но я совру, если буду базарить, что не в деньгах счастье (А)

[Аутро: MORGENSHTERN & Мама Палагина]
Palagin on the beat (А, а)
Сынулечка, ну да, у нас тут, прям у нас, утром крышу чуть не снесло. Мы думали куда-то тикать, а потом вернулись на место, вот щас сидим, и в погребе бомбоубежище себе приготовили, так что, ну, котик, не волнуйся"
WATAFUK?!,"Хей, хей, хей (Е), хей (Oh yeah!)
Хей (Okay), хей (У-у), хей (Слава, что ты сделал?), хей (Oh yeah!)
Хей (Yeah), хей (Lil Pump), хей (Jetski), хей (Hu)
Хей, хей (Е, сук), гр-р-ря (Е)

[Припев: MORGENSHTERN]
What the fuck? Bitch, я молодой 2Pac (Хей)
Oh my God, baby, на мне booty butt (Р-ра)
Gucci thot, цепь из золота, халат (Ту-ту-ту-ту, йей)
Еду в ад, выдуваю, еду в ад (Йей)
What the fuck? Bitch, я молодой 2Pac (Р-ра)
Oh my God, baby, на мне booty butt (Р-ра)
Gucci thot, цепь из золота, халат (Е)
Еду в ад, выдуваю, еду в ад (Ру-ту-ту-ту, е)

[Куплет 1: MORGENSHTERN & Lil Pump]
Я 2Pac, bitch, я молодой — легенда (Йей)
Катится на сцену самый новый белый Мерин (Р-ра)
Кинул суку — та ебала мои нервы (Fuck that)
Ты не понял, сука, папа самый первый (Да)
Два мяча, а, жопа, будто два мяча (У)
Папа одичал, будто тигр зарычал (Р-р-р)
Я, хотя нет дела, суку пригласил на чай (На чай)
Эти хейтеры пищат, но я не замечаю (Не)
Мы на блок (Блок), сука, на мне Glock (Glock, ву)
Цепи — лёд (Лёд), дым на потолок (—Лок)
Называй меня «Володя» и плати налог (Плати, эй)
Заберу твоё, заберу, заберу до дыр
Да, bitch, are you dumb, dumb? Run down-down-down-down (У-у, ooh)
Со мной восток — называй это «банда»
На мне бандана, я забрал твою даму
(Ха-ха-ха-ха! Она зовёт меня странным!)
You might also like
ICE
MORGENSHTERN
Новый Мерин (New Benz)
MORGENSHTERN
РАТАТАТАТА (RATATATATA)
MORGENSHTERN & Витя АК (Vitya AK)
[Куплет 2: Lil Pump]
(Okay)
Right wrist flooded with them Audemar Piguets (Yeah)
Fucked that bitch, send her home in a jet, uh (Yoom)
AK-47 make 'em do the chicken head, uh (Fa-fa-fa-fa)
Shot him in the stomach, but I hit him in the leg (Ooh, bow-bow)
Yeah, slit-wrist bitch, uh, meet my stick, uh (Ayy)
Got a couple of hollows, I'ma go knock off his lips, yeah (Brr, tu-tu-tu)
He been off the H, he gon' shoot you in the face, yeah
He been off the 30's for like twenty days, ooh
Two million in the jewelry, uh, wrist look like McFlurry, ooh
I been sellin' white-girl in the corner like a prostitute (Ayy, ayy)
I been takin' **** from my grandma' kitchen table (What?)
F&N put a hole in 'em like a bagel (Like boom)
Four in the mornin', I'm servin' **** (Ooh)
Brought a Vector to the party, ooh, it's a code red (Tu-tu-tu)
With this RPG (Bam), I'ma go blow up your moped (Bow)
With this MP5, I'ma leave his ass with one leg (Grrah)
Like

[Припев: MORGENSHTERN & Lil Pump]
What the fuck? Bitch, я молодой 2Pac (Хей)
Oh my God, baby, на мне booty butt (Р-ра)
Gucci thot, цепь из золота, халат (Ту-ту-ту-ту, йей)
Еду в ад, выдуваю, еду в ад (Yeah)
What the fuck? Bitch, я молодой 2Pac (Р-ра)
Oh my God, baby, на мне booty butt (Esskeetit)
Gucci thot, цепь из золота, халат (Е)
Еду в ад, выдуваю, еду в ад (Ру-ту-ту-ту, brr!)"
ARISTOCRAT,"Миледи, я прошу вас, коль сосёте мне — делайте это культурно
Не чавкайте, соблюдайте этикет
(Let's go, ля-ля-ля)

[Припев]
Bitch, я молодой аристократ (Аристократ)
Сука, на мне камни сто карат (Дорого, пиздец)
Столько money, будто Эмират (Эмират)
Я легенда, можно умирать, эй (Давай ещё)
Bitch, я молодой аристократ (Я молодой)
Сука, на мне камни сто карат (А ты тупой)
Столько money, будто Эмират (Я как Дубай)
Я легенда, можно умирать (Кхм-кхм-кхм)

[Куплет]
Bitch, я аристократичный папочка
Видишь, мне к лицу ночная бабочка (Ха-ха)
Мне нужен только топ, ты как русалочка (Соси)
Она ищет клад на моей карточке (Найди)
Детка скачет, но не на скакалочке (На чём?)
Я её заляпал, но не в салочки (Кончой)
Запачкал ей лицо волшебной палочкой (Упс)
Твой парень это вытрет, он же тряпочка (Ха-ха-ха)
Кину лёд в самолёт, хайп уйдёт
Через год, уже вот третий год, ну да (Ага-ага)
Я как тот анекдот: изо рта — в другой рот
Твоя ho меня ждёт всегда (Ага-ага)
Мне говорят: я сделал всё обманом (Наебал)
Говорят: легендою не стану (Никогда)
Но что же мне ответить тем ебланам? (Хм)
У моей охраны есть охрана (Ля-ля-ля)
You might also like
NOMINALO
MORGENSHTERN
Последняя Любовь (Last Love)
MORGENSHTERN
Новый Мерин (New Benz)
MORGENSHTERN
[Припев]
Bitch, я молодой аристократ (Аристократ)
Сука, на мне камни сто карат (Дорого, пиздец)
Столько money, будто Эмират (Эмират)
Я легенда, можно умирать, эй (Давай ещё, ха)
Bitch, я молодой аристократ (Я молодой)
Сука, на мне камни сто карат (А ты тупой)
Столько money, будто Эмират (Я как Дубай)
Я легенда, можно умирать

[Аутро]
Stop being so fuckin' Gredy"
SHOW,"Главный шоумен Российской Федерации — Алишер Моргенштерн — представляет вашему вниманию новое шоу MILLION DOLLAR: HAPPINESS
LEEZEY on the fuckin' beat, boy
(Хей-хей)

[Припев]
Все хотят от меня шоу (Хей)
Все хотят — я дам им шоу (Йей-йей)
Все хотят ещё-ещё (Йей)
Я хочу нулей на счёт (Go)
Все хотят от меня шоу (Хей-хей)
Все хотят — я дам им шоу (Хей)
Все хотят ещё-ещё (Хей)
Я хочу нулей на счёт (Go)

[Куплет]
Хей, здорово, букашки (Hi)
Bitch, тут главный шоумен Рашки (Йей)
MORGEN болен, он, сука, безбашен (Бэ)
Эй, смотри на эти бумажки (Look)
Глянул на суку (Bitch) — она теперь влажная
Взял её руку — и сука дрожащая (Вау)
Часы на руке, они дорожайшие (Блеск)
Я вежливо прошу — она берёт за щеку, эй (Хей)
Десять косых в аптеке (Йей)
Суке Philippe Patek'и (Хей)
Они по мне так текут (Хей)
Ты урод, как Lil Tecca (Бэ)
Парень, иди на хуй (Fuck)
Сделаю ярд, куплю Bugatti
I got it (Skrrt), тусуюсь — мне платят (Йей)
Shoutout, мой братик, Яни
You might also like
ARISTOCRAT
MORGENSHTERN
PABLO
MORGENSHTERN
РЕТРО РЕЙВ (RETRO RAVE)
MORGENSHTERN
[Припев]
Все хотят от меня шоу (Хей-хей)
Все хотят — я дам им шоу (Йей)
Все хотят ещё-ещё (Хей-хей-хей)
Я хочу нулей на счёт (Йей)
Все хотят от меня шоу (Йей)
Все хотят — я дам им шоу (Хей-хей-хей)
Все хотят ещё-ещё (Йей)
Я хочу нулей на счёт

[Аутро]
Аплодисменты, сука"
Мне пох (I don’t give a f),"А-а, а-а, а-а

[Куплет 1: Клава Кока & MORGENSHTERN]
Скажи мне сладкую ложь
Скажи прямо в лицо
Скажи, что любишь меня
Но уже так всё равно
Нет времени объяснять
Меня цепляет твой взгляд
Но ты ведь точно из тех, кому нельзя доверять (Точно!)

[Предприпев: Клава Кока]
Мне пох, пох
Тебя люблю, но веду себя так
Будто мне пох, пох
Потому что я люблю тебя
Слышишь
Мне пох, пох
Я люблю, я люблю, я люблю тебя
Но мне пох, пох
Ах! Ох!

[Припев: Клава Кока]
Мне пох, пох
Тебя люблю, но веду себя так
Будто мне пох, пох
Потому что я люблю тебя
Слышишь
Мне пох, пох
Я люблю, я люблю, я люблю тебя
Но мне пох, пох
Ах! Ох!
You might also like
Не сей любовь (Don’t Plant Love)
DK
Новый Мерин (New Benz)
MORGENSHTERN
РАТАТАТАТА (RATATATATA)
MORGENSHTERN & Витя АК (Vitya AK)
[Куплет 2: MORGENSHTERN]
Эй, не трогай руку, я куплю твою подругу, если захочу
Поверь мне, детка, я не дам те сердце, детка
Я не дам те душу, максимум, что — это деньги
М? Может быть, чуть больше, если ты это заслужишь, сучка
Но в душе, в неглиже, я — романтик Алишер
Я так верил в эту вашу, блять, любовь
А что теперь? Я умней!
У меня: суки, деньги, тачки
У меня в сумке пачки, пачки
Девочка ночью громко плачет
Ну а мне, а мне пох

[Припев: Клава Кока & MORGENSHTERN]
Мне пох, пох
Тебя люблю, но веду себя так
Будто мне пох, пох
Потому что я люблю тебя (Люблю тебя)
Слышишь
Мне пох, пох
Я люблю, я люблю, я люблю тебя
Но мне пох, пох
Ах! Ох!

[Бридж: MORGENSHTERN]
(Окей, не выключай)
Нет-Нет-Нет, не слёзы детка
Ты же по-другому мокнешь (У-у)
Потанцуем, детка?
Я же вижу, как ты смотришь (Взгляд)
Нет, не слёзы детка
Ты же по-другому мокнешь (У-у)
Потанцуем, детка?
Я же вижу, как ты смотришь (Потанцуем, детка?)
[Припев: Клава Кока & MORGENSHTERN]
Мне пох, пох
Тебя люблю, но веду себя так
Будто мне пох, пох
Потому что я люблю тебя (Люблю тебя)
Слышишь
Мне пох, пох (Воу)
Я люблю, я люблю, я люблю тебя
Но мне пох, пох
Ах! Ох!
Мне пох, пох (Мне пох, мне пох)
Ах! Ох! (Мне пох, мне пох)
Мне пох, пох
Ах! Ох!
Мне пох, пох (Мне пох, мне пох)
Ах! Ох! (Мне пох, мне пох)
Мне пох, пох
Потому что я люблю тебя

[Аутро: Клава Кока & MORGENSHTERN]
А-а, а-а, а-а
Окей, эй, охуеть, вот это я классный!"
Быстро (Fast),"Drop top, Benz, откидной верх
Без башки, изумрудный цвет
Три, четыре, пять, все купюры в Goyard, шесть
Мои ребята горят, когда сзади наряд

[Припев: SLAVA MARLOW & MORGENSHTERN]
Я гоню быстро, не подъедешь близко (Окей)
Останови, если хочешь убедиться (А-ха)
Я гоню быстро, не подъедешь близко (Окей)
Громкость на сто, не услышу твои визги (Виу-виу-виу)
Я гоню быстро, не подъедешь близко (Окей)
Останови, если хочешь убедиться (А-ха)
Я гоню быстро, не подъедешь близко (Окей)
Громкость на сто, не услышу твои визги (А-а-а-а)

[Куплет: MORGENSHTERN]
Мимо спален, е-е
Пролетают лямы, е-е
Капитаны тихо палят, е
Капитаны любят бабки, е
О да, мы гоним, это ралли, е-е
До пола на педали, е-е
Сзади копы замигали, е-е
Ну давай, останови
Найду, кому звонить
Да, это малли, е-е
Суки любят не за камни, нет
Суки любят не за бабки, нет
Суки любят гениальных, е
You might also like
По глазам (By the Eyes)
SLAVA MARLOW
Снова я напиваюсь (I’m Getting Drunk Again)
SLAVA MARLOW
ICE
MORGENSHTERN
[Скит]
SLAVA MARLOW и MORGENSHTERN забрали за альбом «ЛЕГЕНДАРНАЯ ПЫЛЬ» двадцать два платиновых диска
Это единственный русскоязычный альбом, в котором каждая композиция удостоилась платиновой сертификации

[Припев: SLAVA MARLOW]
Я гоню быстро, не подъедешь близко (Окей)
Останови, если хочешь убедиться (А-ха)
Я гоню быстро, не подъедешь близко (Окей)
Громкость на сто, не услышу твои визги

[Аутро: SLAVA MARLOW]
Я гоню бы-бы-бы-бы-бы-быстро
Бы-бы-бы-бы-бы—
Я гоню бы-бы-бы-бы-бы-быстро
Бы-бы-бы-бы-бы-быстро
Бы-бы-бы-бы-бы-бы-бы-бы-бы-бы-бы-бы-бы-быстро"
